cve_id,condition,batch_id,batch_status,total_reward,quality_score,gate_FORMAT,gate_FUNCTIONAL,gate_SOLVABILITY,gate_NON_TRIVIALITY,soft_RAG_GROUNDING,soft_CVE_RELEVANCE,passed_all_binary,pub_ge_06,pub_ge_090,is_selected,selection_status,solvability_source,xss_selftest_live,n_selftest_live,tokens_in,tokens_out,selftest_cost_rub,cost_rub,wall_clock_s
CVE-2025-43427,no_bon,04fd3d27-194a-49ee-889f-fc1d47846bd7,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,1,6098,1155,0.0,2.4069,67.015
CVE-2025-43427,no_self_test,3d90a601-63e0-4da2-b8af-8d98bf59e9f6,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,static,0,0,30490,10383,0.0,14.3385,98.896
CVE-2026-34309,full,7ab19ec4-ce80-4073-b184-bd72ccde8469,completed,0.984762,0.92,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,5,32815,6986,0.0,13.3375,107.834
CVE-2026-34309,no_rag,2ad305c9-a59a-41be-9e49-e4436029016d,completed,0.858095,0.88,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,18980,11408,0.0,11.398,105.261
CVE-2026-34309,no_bon,b38fb801-033c-444f-95e2-62bfca58dfd8,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,1,6566,1997,0.0,2.9683,71.347
CVE-2026-34309,no_self_test,6bf6317a-d412-4024-b2cc-b05e06b5ad23,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,static,0,0,32820,10004,0.0,14.848,110.944
CVE-2026-23536,full,56ade739-68ab-4667-9734-27227a24c053,completed,0.984762,0.92,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,5,31115,7877,0.0,13.273,113.162
CVE-2026-23536,no_rag,740e396c-ba09-42b8-b1a0-45dbd0f47b26,completed,0.867619,0.93,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,19000,10736,0.0,11.068,90.992
CVE-2026-23536,no_bon,756c9cdf-8ffe-4c6d-a726-218f726469f2,completed,0.930476,0.86,1,1,1,1,0.7,1.0,1,1,1,1,selected,live_pass,1,1,6213,1417,0.0,2.5724,61.057
CVE-2026-23536,no_self_test,81d78510-22b5-4cdd-9b3e-ba552cada3ec,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,static,0,0,31065,8587,0.0,13.613,88.785
CVE-2026-35453,full,ada93e84-361e-4df3-b9a5-1283ea533525,completed,0.891429,0.88,1,1,1,1,1.0,0.1,1,1,0,1,selected,live_pass,1,5,38630,11067,0.0,17.1225,136.26
CVE-2026-35453,no_rag,53dbea56-9b04-4c70-a996-ef49b7be060a,completed,0.880952,1.0,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,18995,7944,0.0,9.6705,82.337
CVE-2026-35453,no_bon,a17fbea6-a1ce-411a-848a-c2e3f0214cb0,failed,0.764706,0.0,1,1,0,1,1.0,1.0,0,1,0,0,best_unselected,live_fail,1,2,15540,2977,0.0,6.1505,104.132
CVE-2026-35453,no_self_test,c2da6fa7-a986-4156-950c-97a2130a0a19,completed,0.984762,0.92,1,1,1,1,1.0,1.0,1,1,1,1,selected,static,0,0,38595,13316,0.0,18.2365,98.977
CVE-2026-7202,full,04e56906-f3b6-4f97-96da-cbdfe98e3e6c,completed,0.984762,0.92,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,5,33820,7091,0.0,13.6915,113.649
CVE-2026-7202,no_rag,468621dc-9822-46f9-8330-79dfd88f6c64,completed,0.86,0.89,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,18910,8198,0.0,9.772,91.29
CVE-2026-7202,no_bon,7ec09d0b-9e9e-410e-ae0b-56eac138871f,completed,0.922857,0.82,1,1,1,1,0.7,1.0,1,1,1,1,selected,live_pass,1,2,13635,3189,0.0,5.685,108.008
CVE-2026-7202,no_self_test,7e37f6cd-d00a-43f7-b332-e1eff5882c9a,completed,0.986667,0.93,1,1,1,1,1.0,1.0,1,1,1,1,selected,static,0,0,33825,6497,0.0,13.396,71.662
